   6.0578250906947366E-004     1.0000000082479368E-007     1.6507574494681435E-004
   1.2115650181389473E-003     2.0000000388125181E-007     1.6507574863075105E-004
   1.8173475272084210E-003     3.0000000916937442E-007     1.6507575231468777E-004
   2.4231300362778947E-003     4.0000001668916156E-007     1.6507575599862483E-004
   3.0289125453473683E-003     5.0000002644061348E-007     1.6507575968256191E-004
   3.6346950544168420E-003     6.0000003842373014E-007     1.6507576336649931E-004
   4.2404775634863161E-003     7.0000005263851180E-007     1.6507576705043680E-004
   4.8462600725557893E-003     8.0000006908495836E-007     1.6507577073437456E-004
   5.4520425816252634E-003     9.0000008776307023E-007     1.6507577441831248E-004
   6.0578250906947366E-003     1.0000001086728475E-006     1.6507577810225067E-004
   6.6636075997642107E-003     1.1000001318142903E-006     1.6507578178618921E-004
   7.2693901088336840E-003     1.2000001571873984E-006     1.6507578547012811E-004
   7.8751726179031572E-003     1.3000001847921726E-006     1.6507578915406725E-004
   8.4809551269726322E-003     1.4000002146286129E-006     1.6507579283800690E-004
   9.0867376360421054E-003     1.5000002466967196E-006     1.6507579652194699E-004
   9.6925201451115786E-003     1.6000002809964933E-006     1.6507580020588754E-004
   1.0298302654181052E-002     1.7000003175279336E-006     1.6507580388982874E-004
   1.0904085163250527E-002     1.8000003562910417E-006     1.6507580757377070E-004
   1.1509867672320000E-002     1.9000003972858176E-006     1.6507581125771350E-004
   1.2115650181389473E-002     2.0000004405122616E-006     1.6507581494165741E-004
   1.2721432690458946E-002     2.1000004859703751E-006     1.6507581862560238E-004
   1.3327215199528421E-002     2.2000005336601587E-006     1.6507582230954848E-004
   1.3932997708597895E-002     2.3000005835816127E-006     1.6507582599349608E-004
   1.4538780217667368E-002     2.4000006357347382E-006     1.6507582967744522E-004
   1.5144562726736841E-002     2.5000006901195362E-006     1.6507583336139626E-004
   1.5750345235806314E-002     2.6000007467360082E-006     1.6507583704534947E-004
   1.6356127744875788E-002     2.7000008055841553E-006     1.6507584072930490E-004
   1.6961910253945264E-002     2.8000008666639784E-006     1.6507584441326272E-004
   1.7567692763014738E-002     2.9000009299754801E-006     1.6507584809722338E-004
   1.8173475272084211E-002     3.0000009955186615E-006     1.6507585178118710E-004
   1.8779257781153684E-002     3.1000010632935250E-006     1.6507585546515419E-004
   1.9385040290223157E-002     3.2000011333000725E-006     1.6507585914912488E-004
   1.9990822799292630E-002     3.3000012055383062E-006     1.6507586283309958E-004
   2.0596605308362104E-002     3.4000012800082290E-006     1.6507586651707870E-004
   2.1202387817431577E-002     3.5000013567098426E-006     1.6507587020106270E-004
   2.1808170326501054E-002     3.6000014356431513E-006     1.6507587388505198E-004
   2.2413952835570527E-002     3.7000015168081581E-006     1.6507587756904685E-004
   2.3019735344640000E-002     3.8000016002048663E-006     1.6507588125304782E-004
   2.3625517853709473E-002     3.9000016858332805E-006     1.6507588493705545E-004
   2.4231300362778947E-002     4.0000017736934034E-006     1.6507588862107024E-004
   2.4837082871848420E-002     4.1000018637852413E-006     1.6507589230509292E-004
   2.5442865380917893E-002     4.2000019561087975E-006     1.6507589598912384E-004
   2.6048647889987366E-002     4.3000020506640788E-006     1.6507589967316370E-004
   2.6654430399056843E-002     4.4000021474510887E-006     1.6507590335721308E-004
   2.7260212908126316E-002     4.5000022464698356E-006     1.6507590704127259E-004
   2.7865995417195789E-002     4.6000023477203237E-006     1.6507591072534300E-004
   2.8471777926265263E-002     4.7000024512025616E-006     1.6507591440942501E-004
   2.9077560435334736E-002     4.8000025569165550E-006     1.6507591809351960E-004
   2.9683342944404209E-002     4.9000026648623126E-006     1.6507592177762749E-004
   3.0289125453473682E-002     5.0000027750398436E-006     1.6507592546174932E-004
   3.0894907962543156E-002     5.1000028874491548E-006     1.6507592914588614E-004
   3.1500690471612629E-002     5.2000030020902563E-006     1.6507593283003876E-004
   3.2106472980682102E-002     5.3000031189631592E-006     1.6507593651420818E-004
   3.2712255489751575E-002     5.4000032380678720E-006     1.6507594019839528E-004
   3.3318037998821048E-002     5.5000033594044064E-006     1.6507594388260114E-004
   3.3923820507890529E-002     5.6000034829727744E-006     1.6507594756682675E-004
   3.4529603016960002E-002     5.7000036087729879E-006     1.6507595125107315E-004
   3.5135385526029475E-002     5.8000037368050611E-006     1.6507595493534167E-004
   3.5741168035098948E-002     5.9000038670690061E-006     1.6507595861963334E-004
   3.6346950544168422E-002     6.0000039995648379E-006     1.6507596230394940E-004
   3.6952733053237895E-002     6.1000041342925711E-006     1.6507596598829116E-004
   3.7558515562307368E-002     6.2000042712522226E-006     1.6507596967265965E-004
   3.8164298071376841E-002     6.3000044104438092E-006     1.6507597335705656E-004
   3.8770080580446314E-002     6.4000045518673480E-006     1.6507597704148303E-004
   3.9375863089515788E-002     6.5000046955228567E-006     1.6507598072594041E-004
   3.9981645598585261E-002     6.6000048414103549E-006     1.6507598441043044E-004
   4.0587428107654734E-002     6.7000049895298644E-006     1.6507598809495442E-004
   4.1193210616724207E-002     6.8000051398814041E-006     1.6507599177951408E-004
   4.1798993125793681E-002     6.9000052924649958E-006     1.6507599546411095E-004
   4.2404775634863154E-002     7.0000054472806651E-006     1.6507599914874666E-004
   4.3010558143932634E-002     7.1000056043284347E-006     1.6507600283342287E-004
   4.3616340653002107E-002     7.2000057636083276E-006     1.6507600651814147E-004
   4.4222123162071580E-002     7.3000059251203725E-006     1.6507601020290406E-004
   4.4827905671141054E-002     7.4000060888645974E-006     1.6507601388771273E-004
   4.5433688180210527E-002     7.5000062548410285E-006     1.6507601757256911E-004
