   9.99999975E-05     1.00000000         1.00000000         0.00000000    
   1.99999995E-04     1.00010002         1.00000000         0.00000000    
   2.99999985E-04     1.00030005         1.00000000         9.09355630E-19
   3.99999990E-04     1.00060010         1.00000000         1.50045964E-17
   4.99999966E-04     1.00100005         1.00000000         9.63940170E-17
   5.99999970E-04     1.00150001         1.00000000         3.93307626E-16
   6.99999975E-04     1.00209999         1.00000000         1.22221031E-15
   7.99999980E-04     1.00279999         1.00000000         3.16373391E-15
   8.99999985E-04     1.00360000         1.00000000         7.18041688E-15
   9.99999931E-04     1.00450003         1.00000000         1.47562508E-14
   1.09999988E-03     1.00550008         1.00000000         2.80579765E-14
   1.19999982E-03     1.00660002         1.00000000         5.01181772E-14
   1.29999977E-03     1.00779998         1.00000000         8.50400208E-14
   1.39999972E-03     1.00909996         1.00000000         1.38223729E-13
   1.49999966E-03     1.01049995         1.00000000         2.16614582E-13
   1.59999961E-03     1.01199996         1.00000000         3.28972499E-13
   1.69999956E-03     1.01359999         1.00000000         4.86163030E-13
   1.79999950E-03     1.01530004         1.00000000         7.01469373E-13
   1.89999945E-03     1.01709998         1.00000000         9.90926200E-13
   1.99999940E-03     1.01899993         1.00000000         1.37367288E-12
   2.09999946E-03     1.02099991         1.00000000         1.87233020E-12
   2.19999952E-03     1.02309990         1.00000000         2.51339487E-12
   2.29999959E-03     1.02529991         1.00000000         3.32765369E-12
   2.39999965E-03     1.02759993         1.00000000         4.35062229E-12
   2.49999971E-03     1.02999997         1.00000000         5.62299556E-12
   2.59999977E-03     1.03250003         1.00000000         7.19112487E-12
   2.69999984E-03     1.03509998         1.00000000         9.10750815E-12
   2.79999990E-03     1.03779995         1.00000000         1.14312995E-11
   2.89999996E-03     1.04059994         1.00000000         1.42288377E-11
   3.00000003E-03     1.04349995         1.00000000         1.75741834E-11
   3.10000009E-03     1.04649997         1.00000000         2.15496891E-11
   3.20000015E-03     1.04960001         1.00000000         2.62465553E-11
   3.30000021E-03     1.05280006         1.00000000         3.17654340E-11
   3.40000028E-03     1.05610001         1.00000000         3.82170094E-11
   3.50000034E-03     1.05949998         1.00000000         4.57226236E-11
   3.60000040E-03     1.06299996         1.00000000         5.44148858E-11
   3.70000047E-03     1.06659997         1.00000000         6.44383019E-11
   3.80000053E-03     1.07029998         1.00000000         7.59499061E-11
   3.90000059E-03     1.07410002         1.00000000         8.91198781E-11
   4.00000066E-03     1.07800007         1.00000000         1.04132251E-10
   4.10000049E-03     1.08200002         1.00000000         1.21185451E-10
   4.20000032E-03     1.08609998         1.00000000         1.40493020E-10
   4.30000015E-03     1.09029996         1.00000000         1.62284214E-10
   4.39999998E-03     1.09459996         1.00000000         1.86804627E-10
   4.49999981E-03     1.09899998         1.00000000         2.14316828E-10
   4.59999964E-03     1.10350001         1.00000000         2.45100967E-10
   4.69999947E-03     1.10810006         1.00000000         2.79455320E-10
   4.79999930E-03     1.11280000         1.00000000         3.17696897E-10
   4.89999913E-03     1.11759996         1.00000000         3.60162011E-10
   4.99999896E-03     1.12249994         1.00000000         4.07206824E-10
   5.09999879E-03     1.12749994         1.00000000         4.59207589E-10
   5.19999862E-03     1.13259995         1.00000000         5.16561460E-10
   5.29999845E-03     1.13779998         1.00000000         5.79686854E-10
   5.39999828E-03     1.14310002         1.00000000         6.49023502E-10
   5.49999811E-03     1.14849997         1.00000000         7.25033089E-10
   5.59999794E-03     1.15399992         1.00000000         8.08199452E-10
   5.69999777E-03     1.15959990         1.00000000         8.99028796E-10
   5.79999760E-03     1.16529989         1.00000000         9.98049865E-10
   5.89999743E-03     1.17109990         1.00000000         1.10581400E-09
   5.99999726E-03     1.17699993         1.00000000         1.22289501E-09
   6.09999709E-03     1.18299997         1.00000000         1.34988909E-09
   6.19999692E-03     1.18909991         1.00000000         1.48741530E-09
   6.29999675E-03     1.19529986         1.00000000         1.63611458E-09
   6.39999658E-03     1.20159984         1.00000000         1.79664905E-09
   6.49999641E-03     1.20799983         1.00000000         1.96970307E-09
   6.59999624E-03     1.21449983         1.00000000         2.15598139E-09
   6.69999607E-03     1.22109985         1.00000000         2.35620812E-09
   6.79999590E-03     1.22779989         1.00000000         2.57112776E-09
   6.89999573E-03     1.23459983         1.00000000         2.80150236E-09
   6.99999556E-03     1.24149978         1.00000000         3.04811087E-09
   7.09999539E-03     1.24849975         1.00000000         3.31174843E-09
   7.19999522E-03     1.25559974         1.00000000         3.59322505E-09
   7.29999505E-03     1.26279974         1.00000000         3.89336430E-09
   7.39999488E-03     1.27009976         1.00000000         4.21299884E-09
   7.49999471E-03     1.27749979         1.00000000         4.55297267E-09
   7.59999454E-03     1.28499985         1.00000000         4.91413576E-09
   7.69999437E-03     1.29259980         1.00000000         5.29734345E-09
   7.79999420E-03     1.30029976         1.00000000         5.70345504E-09
   7.89999403E-03     1.30809975         1.00000000         6.13332585E-09
   7.99999386E-03     1.31599975         1.00000000         6.58781252E-09
   8.09999369E-03     1.32399976         1.00000000         7.06776193E-09
   8.19999352E-03     1.33209980         1.00000000         7.57401253E-09
   8.29999335E-03     1.34029984         1.00000000         8.10739031E-09
   8.39999318E-03     1.34859979         1.00000000         8.66870487E-09
   8.49999301E-03     1.35699975         1.00000000         9.25874311E-09
   8.59999284E-03     1.36549973         1.00000000         9.87826532E-09
   8.69999267E-03     1.37409973         1.00000000         1.05280051E-08
   8.79999250E-03     1.38279974         1.00000000         1.12086616E-08
   8.89999233E-03     1.39159977         1.00000000         1.19208909E-08
   8.99999216E-03     1.40049982         1.00000000         1.26653070E-08
